STOCKJOIN,SERIESNAME,Group,Year,Value,Stdev,Scale
none,bts_bootstrap,Grenadiers,2015,1.244148679,0.243129846,1
none,bts_bootstrap,Herring,1984,0.149308012,0.247724573,1
none,bts_bootstrap,Herring,1987,0.188688191,0.279343849,1
none,bts_bootstrap,Herring,1990,0.040073487,0.033929599,1
none,bts_bootstrap,Herring,1993,0.068245424,0.087454873,1
none,bts_bootstrap,Herring,1996,0.002794804,0.001271895,1
none,bts_bootstrap,Herring,1999,0.13186825,0.168965442,1
none,bts_bootstrap,Herring,2001,0.196410938,0.508653548,1
none,bts_bootstrap,Herring,2003,0.038280071,0.018456765,1
none,bts_bootstrap,Herring,2005,0.01926446,0.019406499,1
none,bts_bootstrap,Herring,2007,0.10435177,0.090768399,1
none,bts_bootstrap,Herring,2009,0.072770905,0.130940115,1
none,bts_bootstrap,Herring,2011,0.073569586,0.054108611,1
none,bts_bootstrap,Herring,2013,0.210868458,0.304650062,1
none,bts_bootstrap,Herring,2015,0.19274265,0.187542264,1
none,bts_bootstrap,Infauna,1984,0.004441308,0.002776042,1
none,bts_bootstrap,Infauna,1987,0.001014114,0.000421241,1
none,bts_bootstrap,Infauna,1990,0.002806397,0.000829065,1
none,bts_bootstrap,Infauna,1993,0.010007538,0.006092037,1
none,bts_bootstrap,Infauna,1996,0.00997585,0.00261888,1
none,bts_bootstrap,Infauna,1999,0.009331883,0.002159802,1
none,bts_bootstrap,Infauna,2001,0.01682276,0.006420536,1
none,bts_bootstrap,Infauna,2003,0.025074482,0.010983731,1
none,bts_bootstrap,Infauna,2005,0.015491715,0.004369926,1
none,bts_bootstrap,Infauna,2007,0.016209341,0.008077625,1
none,bts_bootstrap,Infauna,2009,0.013540433,0.003343403,1
none,bts_bootstrap,Infauna,2011,0.01059356,0.002320782,1
none,bts_bootstrap,Infauna,2013,0.007685488,0.001720869,1
none,bts_bootstrap,Infauna,2015,0.009297829,0.001664776,1
none,bts_bootstrap,Jellyfish,1984,0.02867203,0.005975044,1
none,bts_bootstrap,Jellyfish,1987,0.041479511,0.007687472,1
none,bts_bootstrap,Jellyfish,1990,0.261467148,0.024336707,1
none,bts_bootstrap,Jellyfish,1993,0.058912838,0.012677261,1
none,bts_bootstrap,Jellyfish,1996,0.046672143,0.01135544,1
none,bts_bootstrap,Jellyfish,1999,0.015743708,0.002503873,1
none,bts_bootstrap,Jellyfish,2001,0.069010862,0.013092177,1
none,bts_bootstrap,Jellyfish,2003,0.045937836,0.00531706,1
none,bts_bootstrap,Jellyfish,2005,0.039363215,0.010661481,1
none,bts_bootstrap,Jellyfish,2007,0.00490062,0.001556198,1
none,bts_bootstrap,Jellyfish,2009,0.059582058,0.008194795,1
none,bts_bootstrap,Jellyfish,2011,0.007831756,0.002149988,1
none,bts_bootstrap,Jellyfish,2013,0.079903068,0.017217421,1
none,bts_bootstrap,Jellyfish,2015,0.103932621,0.011716351,1
none,bts_bootstrap,King.Crab,1984,0.007024601,0.003814672,1
none,bts_bootstrap,King.Crab,1987,NA,NA,1
none,bts_bootstrap,King.Crab,1990,NA,NA,1
none,bts_bootstrap,King.Crab,1993,0.000353977,0.000218306,1
none,bts_bootstrap,King.Crab,1996,0.000678461,0.000397429,1
none,bts_bootstrap,King.Crab,1999,0.000357861,0.000174036,1
none,bts_bootstrap,King.Crab,2001,0.002247193,0.00373498,1
none,bts_bootstrap,King.Crab,2003,0.009251717,0.028049418,1
none,bts_bootstrap,King.Crab,2005,NA,NA,1
none,bts_bootstrap,King.Crab,2007,0.000257458,0.000140859,1
none,bts_bootstrap,King.Crab,2009,0.001389631,0.001227433,1
none,bts_bootstrap,King.Crab,2011,0.001679338,0.003218228,1
none,bts_bootstrap,King.Crab,2013,NA,NA,1
none,bts_bootstrap,King.Crab,2015,0.000454654,0.000292217,1
none,bts_bootstrap,Lg.Sculpins,1984,0.137581352,0.011250018,1
none,bts_bootstrap,Lg.Sculpins,1987,0.104049058,0.012308285,1
none,bts_bootstrap,Lg.Sculpins,1990,0.086640549,0.019487694,1
none,bts_bootstrap,Lg.Sculpins,1993,0.079422,0.011944732,1
none,bts_bootstrap,Lg.Sculpins,1996,0.096888,0.020502582,1
none,bts_bootstrap,Lg.Sculpins,1999,0.102215582,0.012408613,1
none,bts_bootstrap,Lg.Sculpins,2001,0.143473189,0.041191378,1
none,bts_bootstrap,Lg.Sculpins,2003,0.092462284,0.010220909,1
none,bts_bootstrap,Lg.Sculpins,2005,0.114340226,0.011453001,1
none,bts_bootstrap,Lg.Sculpins,2007,0.111443101,0.013333476,1
none,bts_bootstrap,Lg.Sculpins,2009,0.141484105,0.01737545,1
none,bts_bootstrap,Lg.Sculpins,2011,0.110120519,0.012603762,1
none,bts_bootstrap,Lg.Sculpins,2013,0.117808707,0.015268335,1
none,bts_bootstrap,Lg.Sculpins,2015,0.132369481,0.020165777,1
none,bts_bootstrap,Misc.fish.deep,1984,4.15E-06,2.07E-06,1
none,bts_bootstrap,Misc.fish.deep,1987,NA,NA,1
none,bts_bootstrap,Misc.fish.deep,1990,NA,NA,1
none,bts_bootstrap,Misc.fish.deep,1993,NA,NA,1
none,bts_bootstrap,Misc.fish.deep,1996,NA,NA,1
none,bts_bootstrap,Misc.fish.deep,1999,0.000110661,5.12E-05,1
none,bts_bootstrap,Misc.fish.deep,2001,NA,NA,1
none,bts_bootstrap,Misc.fish.deep,2003,1.10E-05,5.08E-06,1
none,bts_bootstrap,Misc.fish.deep,2005,6.16E-05,2.50E-05,1
none,bts_bootstrap,Misc.fish.deep,2007,7.70E-05,6.10E-05,1
none,bts_bootstrap,Misc.fish.deep,2009,2.40E-05,1.71E-05,1
none,bts_bootstrap,Misc.fish.deep,2011,1.02E-05,6.19E-06,1
none,bts_bootstrap,Misc.fish.deep,2013,NA,NA,1
none,bts_bootstrap,Misc.fish.deep,2015,3.83E-05,1.56E-05,1
none,bts_bootstrap,Misc.fish.shallow,1984,0.209352394,0.137170169,1
none,bts_bootstrap,Misc.fish.shallow,1987,0.136877238,0.073765044,1
none,bts_bootstrap,Misc.fish.shallow,1990,0.219430101,0.23705619,1
none,bts_bootstrap,Misc.fish.shallow,1993,0.150029697,0.060196659,1
none,bts_bootstrap,Misc.fish.shallow,1996,1.100154851,3.070509321,1
none,bts_bootstrap,Misc.fish.shallow,1999,0.059180923,0.010251977,1
none,bts_bootstrap,Misc.fish.shallow,2001,1.593686713,5.866264945,1
none,bts_bootstrap,Misc.fish.shallow,2003,0.262778685,0.082816713,1
none,bts_bootstrap,Misc.fish.shallow,2005,0.392748616,0.185051412,1
none,bts_bootstrap,Misc.fish.shallow,2007,0.347910814,0.143594207,1
none,bts_bootstrap,Misc.fish.shallow,2009,0.606194009,0.786185998,1
none,bts_bootstrap,Misc.fish.shallow,2011,0.398264772,0.28194838,1
none,bts_bootstrap,Misc.fish.shallow,2013,0.519645511,0.533744733,1
none,bts_bootstrap,Misc.fish.shallow,2015,0.148770053,0.073805832,1
none,bts_bootstrap,Motile.epifauna,1984,0.096399349,0.012044446,1
none,bts_bootstrap,Motile.epifauna,1987,0.024581381,0.005437535,1
none,bts_bootstrap,Motile.epifauna,1990,0.060369442,0.013273031,1
none,bts_bootstrap,Motile.epifauna,1993,0.086681662,0.008963114,1
none,bts_bootstrap,Motile.epifauna,1996,0.122314308,0.026785179,1
none,bts_bootstrap,Motile.epifauna,1999,0.147397407,0.01772994,1
none,bts_bootstrap,Motile.epifauna,2001,0.150843005,0.015752597,1
none,bts_bootstrap,Motile.epifauna,2003,0.158040239,0.023289028,1
none,bts_bootstrap,Motile.epifauna,2005,0.143279336,0.010271242,1
none,bts_bootstrap,Motile.epifauna,2007,0.103454896,0.006338572,1
none,bts_bootstrap,Motile.epifauna,2009,0.136389372,0.009297169,1
none,bts_bootstrap,Motile.epifauna,2011,0.10762086,0.007842086,1
none,bts_bootstrap,Motile.epifauna,2013,0.116750779,0.008851652,1
none,bts_bootstrap,Motile.epifauna,2015,0.171678018,0.011717835,1
none,bts_bootstrap,P.Cod,1984,2.122202819,0.355106664,1
none,bts_bootstrap,P.Cod,1987,1.433404141,0.163128671,1
none,bts_bootstrap,P.Cod,1990,1.405841013,0.118828729,1
none,bts_bootstrap,P.Cod,1993,1.414217718,0.203175357,1
none,bts_bootstrap,P.Cod,1996,1.776801392,0.241045491,1
none,bts_bootstrap,P.Cod,1999,1.012028495,0.138449546,1
