Year,Month,Value
2006,1,0.956017218
2006,2,0.565345915
2006,3,-0.056202468
2006,4,0.16781357
2006,5,0.212080578
2006,6,0.789267881
2006,7,0.220694802
2006,8,-0.545547547
2006,9,-0.822851194
2006,10,0.066190755
2006,11,-0.106063527
2006,12,0.100360086
2007,1,0.008502129
2007,2,-0.006013487
2007,3,-0.466938931
2007,4,-0.071244795
2007,5,-0.379394351
2007,6,-0.090399344
2007,7,0.613884908
2007,8,0.548611515
2007,9,-0.219056451
2007,10,-1.346562826
2007,11,-0.920233473
2007,12,-0.577968705
2008,1,-0.929723595
2008,2,-0.752466901
2008,3,-0.817567619
2008,4,-1.744653352
2008,5,-1.674520488
2008,6,-1.414530008
2008,7,-1.626384304
2008,8,-1.544562343
2008,9,-1.457876701
2008,10,-1.659386834
2008,11,-1.081174043
2008,12,-0.851184467
2009,1,-1.30129814
2009,2,-1.471273891
2009,3,-1.699148321
2009,4,-1.8741433
2009,5,-1.174826152
2009,6,-0.460785543
2009,7,-0.583973324
2009,8,0.158520023
2009,9,0.697045919
2009,10,0.389105859
2009,11,-0.27647119
2009,12,0.043832687
2010,1,0.770229945
2010,2,0.712793503
2010,3,0.334498071
2010,4,0.546322648
2010,5,0.354850388
2010,6,-0.377448648
2010,7,-1.059459034
2010,8,-1.135441998
2010,9,-1.520338226
2010,10,-0.953010043
2010,11,-0.67408907
2010,12,-1.171506396
2011,1,-0.855408686
2011,2,-0.807759746
2011,3,-0.797531694
2011,4,-0.648969178
2011,5,-0.654736128
2011,6,-0.812652433
2011,7,-1.800119467
2011,8,-1.582620049
2011,9,-1.707722802
2011,10,-1.235560759
2011,11,-2.103620022
2011,12,-1.717937922
2012,1,-1.282719412
2012,2,-0.826190695
2012,3,-1.158178345
2012,4,-0.4995577
2012,5,-1.562344208
2012,6,-0.979326223
2012,7,-1.489224964
2012,8,-1.763394155
2012,9,-2.144953478
2012,10,-0.680550424
2012,11,-0.456345945
2012,12,-0.483756373
2013,1,-0.121548961
2013,2,-0.439140777
2013,3,-0.737423919
2013,4,-0.389989282
2013,5,-0.195833166
2013,6,-0.895989328
2013,7,-1.242338153
2013,8,-0.916610185
2013,9,-0.343979501
2013,10,-0.7612792
2013,11,-0.00192551
2013,12,-0.41780774
2014,1,0.277893674
2014,2,0.307312637
2014,3,0.865450084
2014,4,0.894949431
2014,5,1.558195933
2014,6,0.585555471
2014,7,0.540733261
2014,8,0.710356767
2014,9,1.280020154
2014,10,1.620219694
2014,11,1.730552398
2014,12,2.333192354
